Code,Parent Code,Full Code,Meaning,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder,,
084,AF06,AF06084,Cause another to believe to have an injury intending to cause him/her to avoid service,,,Section: 345(3),,AF060840,,
085,AF06,AF06085,Intentionally obstruct person subject to service law acting in the course of duty,,,Section: 346,,AF060850,,
086,AF06,AF06086,To avoid service pretend to have or by omission aggravate/prolong self injury,,,"Section: 16(1)(a), (c) & 164",,AF060860,,
087,AF06,AF06087,Negligently allowed the escape of person committed to your charge/duty to guard,,,"Section: 30(1), (4) & 164(1)",,AF060870,,
001,AG28,AG28001,Farmer - creator of agricultural charge fail to pay proceeds from sale of property,,,Section: 11(1)(a),,AG280010,,
002,AG28,AG28002,Farmer create agricultural charge remove property subject to charge from holding,,,Section: 11(1)(b),,AG280020,,
003,AG28,AG28003,Farmer create agricultural charge remove property subject to charge from holding,,30/03/2007,Section: 11(1)(b),,AG280030,,
001,AG58,AG58001,Sell regulated product in contravention of provision,,,Section: 6(6),,AG580010,,
002,AG58,AG58002,Disclose without authority restricted information obtained under Act,,,Section: 47(3),,AG580020,,
001,AG67,AG67001,Misrepresent systems of classification of carcasses,,,Section: 6(8),,AG670010,,
002,AG67,AG67002,Falsify registration returns and records of levy scheme,,,Section: 14(3),,AG670020,,
003,AG67,AG67003,Disclose without authority information acquired under levy scheme,,01/10/2006,Section: 24(3),,AG670030,,
004,AG67,AG67004,Disclose without authority information relating to land acquired under forestation scheme,,,Section: 55(4),,AG670040,,
001,AG70,AG70001,Seller give statutory statement including additional particulars other than those prescribed,,,Section: 68 (1A),,AG700010,,
002,AG70,AG70002,Disclose without authority contents of corn returns,,,Section: 108,,AG700020,,
003,AG70,AG70003,Fail to give a statutory statement within time etc as required by ss 68(1)(b),,,Section: 68 (4) (a),,AG700030,,
004,AG70,AG70004,Give statutory statement which does not contain all/any of the particulars required by ss 68(1)(a),,,Section: 68 (4) b,,AG700040,,
005,AG70,AG70005,Give statutory statement which contains false particulars to the prejudice of the purchaser,,,Section: 68 (4) (b) (ii),,AG700050,,
006,AG70,AG70006,Sell/expose for sale material from a parcel purporting to be labelled as mentioned in ss 68(2)(b),,,Section: 68 (4) (C),,AG700060,,
007,AG70,AG70007,Have on premises material ready for sale where s 69(1) applies not marked in the manner required,,,Section: 69 (4),,AG700070,,
008,AG70,AG70008,Fail to produce a register to inspector and allow him to take copies,,,Section: 69 (7),,AG700080,,
009,AG70,AG70009,Sell for use as a fertiliser/feeding stuff material described in a statement/ document mentioned in s 70(1),,,Section: 70 (2) (a) (I),,AG700090,,
010,AG70,AG70010,Have on premises material ready for sale sample portion fails to accord meaning assigned to name/expression,,,Section: 70 (2) (b),,AG700100,,
011,AG70,AG70011,Failing to comply with ss 71 (1) or falsely describe/ mark any material,,,Section: 71 (2) (a),,AG700110,,
012,AG70,AG70012,Sell material as feed stuff sample portion is shown by an analysis to contain ingredient deleterious to animals/humans,,,Section: 73 (1) (a),,AG700120,,
013,AG70,AG70013,Sell material as feed stuff  sample shown to be unwholesome/dangerous to animals/humans,,,Section: 73A (1) (a),,AG700130,,
014,AG70,AG70014,Contravene a prohibition/restriction imposed by regs,,,Section: 74A (3),,AG700140,,
015,AG70,AG70015,Fail inform inspector of name/address of seller & produce/allow taking of copies of statutory statement re feed stuff,,,Section: 76 (2) (a),,AG700150,,
016,AG70,AG70016,Tamper with material to procure sample taken for analysis does not represent the material,,,Section: 79 (10) (a),,AG700160,,
017,AG70,AG70017,Wilful obstruction of inspector in the exercise of his powers under this part of Act,,,Section: 83 (2),,AG700170,,
018,AG70,AG70018,Person not being an inspector purporting to act as such,,,Section: 83 (3),,AG700180,,
019,AG70,AG70019,Disclose info re manufacturing process/trade secret obtained in premises,,,Section: 83 (4),,AG700190,,
001,AH64,AH64001,Sell fresh horticultural produce of a description in relation grades of quality are designated & defined by s.11(1),,,Section: 12 (2),,AH640010,,
002,AH64,AH64002,Display/offers for sale/sells/deliver/market regulated produce with intent to do same in contravention of rules,,,Section: 14 (1),,AH640020,,
003,AH64,AH64003,Exposing regulated produce for sale,,,Section: 14 (1) (a),,AH640030,,
004,AH64,AH64004,"Not being the producer thereof, has the produce in his possession for sale",,,Section: 14 (1) (b),,AH640040,,
005,AH64,AH64005,"Being the producer thereof , consigns the produce for sale",,,Section: 14 (1) (C),,AH640050,,
006,AH64,AH64006,Sell regulated produce in circumstances such that the sale contravenes Community grading rules,,,Section: 14 (2) (a),,AH640060,,
007,AH64,AH64007,"Intent to carry out a sale , delivers or markets it with a view to sale or has it in his possession for sale",,,Section: 14 (2) (b),,AH640070,,
008,AH64,AH64008,With intent sell regulated produce display/offer for sale/deliver/market with a view to sale/possession for sale,,,Section: 14 (2) (b),,AH640080,,
009,AH64,AH64009,Responsible on behalf by other for regrade/label regulated produce not conform to Community rules,,,Section: 14 (3),,AH640090,,
010,AH64,AH64010,Knowingly give regulated produce incorrect label/other manner a description of the produce not complying with rules,,,Section: 14 (3) (a),,AH640100,,
011,AH64,AH64011,Affix to container of regulated produce/produce itself/certificate in a form prescribed,,,Section: 14 (3 (b),,AH640110,,
012,AH64,AH64012,Affix container of regulated produce/produce or certificate accompanying the produce a label in not in prescribed form,,,Section: 14 (3) (b),,AH640120,,
013,AH64,AH64013,With intent to deceive remove/alters/deface/conceal a label/cert fixed to a container,,,Section: 14 (3) (C),,AH640130,,
014,AH64,AH64014,Offer produce without giving particulars required by Community grading rules relating thereto,,,Section: 14 (3) (d),,AH640140,,
015,AH64,AH64015,-,,01/01/1901,Section: 14 (3) (e),,AH640150,,
016,AH64,AH64016,Dispatch consignment without any cert accompanying the produce as required by Community rules,,,Section: 14 (3) (e),,AH640160,,
017,AH64,AH64017,Wilfully obstruct authorised officer acting in the execution of Community grading rules,,,Section: 15 (1) (a),,AH640170,,
018,AH64,AH64018,Fail to give any authorised officer assistance/information re Community grading rules,,,Section: 15 (1) (b),,AH640180,,
019,AH64,AH64019,Failing to make any request for inspection or giving any notice or information required by Community grading rules,,,Section: 15 (1) (C),,AH640190,,
020,AH64,AH64020,Give authorised officer any information which is false,,,Section: 15 (2),,AH640200,,
001,AI04,AI04001,Unable to produce an immigration document at a leave / asylum interview in respect of self,22/09/2004,,Section: 2(1) & (9),,AI040010,,
002,AI04,AI04002,Unable to produce an immigration document at a leave or asylum interview in respect of dependent child,22/09/2004,,Section: 2(2) & (9),,AI040020,,
003,AI04,AI04003,Trafficking persons into the UK for the purpose of exploitation,01/12/2004,,Section: 4(1) & (5),,AI040030,,
004,AI04,AI04004,Trafficking persons within the UK for the purpose of exploitation,01/12/2004,,Section: 4(2) & (5),,AI040040,,
005,AI04,AI04005,Trafficking persons out of the UK for the purpose of exploitation,01/12/2004,,Section: 4(3) & (5),,AI040050,,
006,AI04,AI04006,Fail to comply with a requirement to take specified action as Sec of State required,22/09/2004,,"Section: 35(1), (3) & (5)",,AI040060,,
007,AI04,AI04007,Employ person subject to immigration control who has attained 16 years of age,01/12/2004,,Section: 4,,AI040070,,
001,AI55,AI55001,Misconduct in action with intent to assist the enemy,,,Section: 24,,AI550010,,
002,AI55,AI55002,Misconduct in action other than with intent to assist the enemy,,,Section: 24,,AI550020,,
003,AI55,AI55003,Knowingly and inexcusably committing or omitting to do act other than with intent to assist the enemy,,,Section: 25,,AI550030,,
004,AI55,AI55004,Knowingly and inexcusably committing or omitting to do act other than with intent to assist the enemy,,,Section: 25,,AI550040,,
005,AI55,AI55005,Obstructing operation with intent to assist the enemy,,,Section: 26(1)  &  (3)(a),,AI550050,,
006,AI55,AI55006,Obstructing operation other than with intent to assist the enemy,,,Section: 26(1)  &  (3)(b),,AI550060,,
007,AI55,AI55007,Giving false air signals with intent to assist the enemy,,,Section: 26(2)  &  (3)(a),,AI550070,,
008,AI55,AI55008,Giving false air signals other than with intent to assist the enemy,,,Section: 26(2)  &  (3)(b),,AI550080,,
009,AI55,AI55009,Altering air signals or apparatus giving air signals with intent to assist the enemy,,,Section: 26(2)  &  (3)(a),,AI550090,,
010,AI55,AI55010,Altering air signals or apparatus giving air signals other than with intent to assist the enemy,,,Section: 26(2)  &  (3)(b),,AI550100,,
011,AI55,AI55011,Interfering with air signals or apparatus giving air signals with intent to assist the enemy,,,Section: 26(2)  &  (3)(a),,AI550110,,
012,AI55,AI55012,Interfering with air signals or apparatus giving air signals other than with intent to assist the enemy,,,Section: 26(2)  &  (3)(b),,AI550120,,
013,AI55,AI55013,"Stealing from person killed, wounded or captured in warlike operation to preserve law and order",,,Section: 30(a),,AI550130,,
014,AI55,AI55014,Search with intent to steal a person killed/wounded/captured in warlike operation/operation to preserve law & order,,,Section: 30(a),,AI550140,,
015,AI55,AI55015,Steal property left exposed/undefended as a result of warlike operation/operation to preserve law & order,,,Section: 30(b),,AI550150,,
016,AI55,AI55016,"Take, other than for public service, vehicle, equipment or stores abandoned by enemy",,,Section: 30(c),,AI550160,,
017,AI55,AI55017,"Mutinying with aim of refusing, avoiding ,or impeding duty, service or operation against the enemy",,,Section: 31(1)(a),,AI550170,,
018,AI55,AI55018,"Inciting mutiny with aim of refusing, avoiding or impeding duty, service or operation against the enemy",,,Section: 31(1)(b),,AI550180,,
019,AI55,AI55019,"Mutinying other than with aim of refusing, avoiding or impeding duty, service or operation against the enemy",,,Section: 31(2),,AI550190,,
020,AI55,AI55020,"Inciting mutiny other than with aim of refusing, avoiding or impeding duty, service or operation against the enemy",,,Section: 31(2),,AI550200,,
021,AI55,AI55021,Failing to suppress mutiny with intent to assist the enemy,,,Section: 32(i),,AI550210,,
022,AI55,AI55022,Failing to suppress mutiny other than with intent to assist the enemy,,,Section: 32(ii),,AI550220,,
023,AI55,AI55023,Using violence to a superior,,,Section: 33,,AI550230,,
024,AI55,AI55024,Wilfully or through neglect disobeying lawful command,,,Section: 34,,AI550240,,
025,AI55,AI55025,Obstructing Provost Officer,,,Section: 35(a),,AI550250,,
026,AI55,AI55026,Refusing to assist Provost Officer,,,Section: 35(b),,AI550260,,
027,AI55,AI55027,Disobeying standing order,,,Section: 36,,AI550270,,
028,AI55,AI55028,Deserting,,,Section: 37,,AI550280,,
029,AI55,AI55029,Being absent without leave,,,Section: 38,,AI550290,,
030,AI55,AI55030,Being drunk (on or off duty),,,Section: 43,,AI550300,,
031,AI55,AI55031,Fighting,,,Section: 43A(a),,AI550310,,
032,AI55,AI55032,"Using threatening, abusive, insulting or provocative words or behaviour likely to cause disturbance",,,Section: 43A(b),,AI550320,,
033,AI55,AI55033,Wilfully damaging public or service property,,,Section: 44,,AI550330,,
034,AI55,AI55034,Wilfully causing loss of public or service property,,,Section: 44,,AI550340,,
035,AI55,AI55035,"Flying dangerously, causing loss of life",,,Section: 49,,AI550350,,
036,AI55,AI55036,Flying dangerously in manner likely to cause loss of life,,,Section: 49,,AI550360,,
037,AI55,AI55037,Making an official document or record which is false,,,Section: 62(1)(a),,AI550370,,
038,AI55,AI55038,Making an official document or record an entry which is false,,,Section: 62(1)(b),,AI550380,,
039,AI55,AI55039,Tampering with whole or part of official document or record,,,Section: 62(1)(c),,AI550390,,
040,AI55,AI55040,Failing to make an entry on official document or record with intent to deceive,,,Section: 62(1)(d),,AI550400,,
041,AI55,AI55041,Ill-treating subordinate,,,Section: 65,,AI550410,,
042,AI55,AI55042,Conducting oneself disgracefully - indecency,,,Section: 66,,AI550420,,
043,AI55,AI55043,Conducting oneself disgracefully - cruelty,,,Section: 66,,AI550430,,
044,AI55,AI55044,Conducting oneself disgracefully - unnatural act,,,Section: 66,,AI550440,,
045,AI55,AI55045,Engaging in conduct or neglect prejudicial to good order and air-force discipline,,,Section: 69,,AI550450,,
046,AI55,AI55046,Falsely pretending to be a deserter,,,Section: 191,,AI550460,,
047,AI55,AI55047,Procuring or persuading person subject to Act to desert,,,Section: 192(1)(a),,AI550470,,
048,AI55,AI55048,Procuring or persuading person subject to Act to be absent without leave,,,Section: 192(1)(a),,AI550480,,
049,AI55,AI55049,Assisting desertion,,,Section: 192(1)(b),,AI550490,,
050,AI55,AI55050,Assisting being absent without leave,,,Section: 192(1)(b),,AI550500,,
051,AI55,AI55051,Procuring or persuading person subject to Act to remain a deserter,,,Section: 192(1)(c),,AI550510,,
052,AI55,AI55052,Procuring or persuading person subject to Act to remain absent without leave,,,Section: 192(1)(c),,AI550520,,
053,AI55,AI55053,Assisting person subject to Act to remain a deserter,,,Section: 192(1)(c),,AI550530,,
054,AI55,AI55054,Assisting person subject to Act to remain absent without leave,,,Section: 192(1)(c),,AI550540,,
055,AI55,AI55055,Assisting in rescue of deserter from custody,,,Section: 192(1)(c),,AI550550,,
056,AI55,AI55056,Assisting in rescue of absentee from custody,,,Section: 192(1)(c),,AI550560,,
